Num of Spin	Line	BetPerLine	TotalCoinIn	FreeSpin TotalTimes	fsTimes	Symbol1	FreeSpin 2 Symbol1 Hit 	FreeSpin 3 Symbol1 Hit 	FreeSpin 4 Symbol1 Hit 	FreeSpin 5 Symbol1 Hit 	FreeSpin Symbol1 Total Hit 	FreeSpin 2 Symbol1 win 	FreeSpin 3 Symbol1 win 	FreeSpin 4 Symbol1 win 	FreeSpin 5 Symbol1 win 	FreeSpin Symbol1 Total Win Pay 	Symbol2	FreeSpin 2 Symbol2 Hit 	FreeSpin 3 Symbol2 Hit 	FreeSpin 4 Symbol2 Hit 	FreeSpin 5 Symbol2 Hit 	FreeSpin Symbol2 Total Hit 	FreeSpin 2 Symbol2 win 	FreeSpin 3 Symbol2 win 	FreeSpin 4 Symbol2 win 	FreeSpin 5 Symbol2 win 	FreeSpin Symbol2 Total Win Pay 	Symbol3	FreeSpin 2 Symbol3 Hit 	FreeSpin 3 Symbol3 Hit 	FreeSpin 4 Symbol3 Hit 	FreeSpin 5 Symbol3 Hit 	FreeSpin Symbol3 Total Hit 	FreeSpin 2 Symbol3 win 	FreeSpin 3 Symbol3 win 	FreeSpin 4 Symbol3 win 	FreeSpin 5 Symbol3 win 	FreeSpin Symbol3 Total Win Pay 	Symbol4	FreeSpin 2 Symbol4 Hit 	FreeSpin 3 Symbol4 Hit 	FreeSpin 4 Symbol4 Hit 	FreeSpin 5 Symbol4 Hit 	FreeSpin Symbol4 Total Hit 	FreeSpin 2 Symbol4 win 	FreeSpin 3 Symbol4 win 	FreeSpin 4 Symbol4 win 	FreeSpin 5 Symbol4 win 	FreeSpin Symbol4 Total Win Pay 	Symbol5	FreeSpin 2 Symbol5 Hit 	FreeSpin 3 Symbol5 Hit 	FreeSpin 4 Symbol5 Hit 	FreeSpin 5 Symbol5 Hit 	FreeSpin Symbol5 Total Hit 	FreeSpin 2 Symbol5 win 	FreeSpin 3 Symbol5 win 	FreeSpin 4 Symbol5 win 	FreeSpin 5 Symbol5 win 	FreeSpin Symbol5 Total Win Pay 	Symbol6	FreeSpin 2 Symbol6 Hit 	FreeSpin 3 Symbol6 Hit 	FreeSpin 4 Symbol6 Hit 	FreeSpin 5 Symbol6 Hit 	FreeSpin Symbol6 Total Hit 	FreeSpin 2 Symbol6 win 	FreeSpin 3 Symbol6 win 	FreeSpin 4 Symbol6 win 	FreeSpin 5 Symbol6 win 	FreeSpin Symbol6 Total Win Pay 	Symbol7	FreeSpin 2 Symbol7 Hit 	FreeSpin 3 Symbol7 Hit 	FreeSpin 4 Symbol7 Hit 	FreeSpin 5 Symbol7 Hit 	FreeSpin Symbol7 Total Hit 	FreeSpin 2 Symbol7 win 	FreeSpin 3 Symbol7 win 	FreeSpin 4 Symbol7 win 	FreeSpin 5 Symbol7 win 	FreeSpin Symbol7 Total Win Pay 	Symbol8	FreeSpin 2 Symbol8 Hit 	FreeSpin 3 Symbol8 Hit 	FreeSpin 4 Symbol8 Hit 	FreeSpin 5 Symbol8 Hit 	FreeSpin Symbol8 Total Hit 	FreeSpin 2 Symbol8 win 	FreeSpin 3 Symbol8 win 	FreeSpin 4 Symbol8 win 	FreeSpin 5 Symbol8 win 	FreeSpin Symbol8 Total Win Pay 	Symbol9	FreeSpin 2 Symbol9 Hit 	FreeSpin 3 Symbol9 Hit 	FreeSpin 4 Symbol9 Hit 	FreeSpin 5 Symbol9 Hit 	FreeSpin Symbol9 Total Hit 	FreeSpin 2 Symbol9 win 	FreeSpin 3 Symbol9 win 	FreeSpin 4 Symbol9 win 	FreeSpin 5 Symbol9 win 	FreeSpin Symbol9 Total Win Pay 	Symbol10	FreeSpin 2 Symbol10 Hit 	FreeSpin 3 Symbol10 Hit 	FreeSpin 4 Symbol10 Hit 	FreeSpin 5 Symbol10 Hit 	FreeSpin Symbol10 Total Hit 	FreeSpin 2 Symbol10 win 	FreeSpin 3 Symbol10 win 	FreeSpin 4 Symbol10 win 	FreeSpin 5 Symbol10 win 	FreeSpin Symbol10 Total Win Pay 	Symbol11	FreeSpin 2 Symbol11 Hit 	FreeSpin 3 Symbol11 Hit 	FreeSpin 4 Symbol11 Hit 	FreeSpin 5 Symbol11 Hit 	FreeSpin Symbol11 Total Hit 	FreeSpin 2 Symbol11 win 	FreeSpin 3 Symbol11 win 	FreeSpin 4 Symbol11 win 	FreeSpin 5 Symbol11 win 	FreeSpin Symbol11 Total Win Pay 	Symbol12	FreeSpin 2 Symbol12 Hit 	FreeSpin 3 Symbol12 Hit 	FreeSpin 4 Symbol12 Hit 	FreeSpin 5 Symbol12 Hit 	FreeSpin Symbol12 Total Hit 	FreeSpin 2 Symbol12 win 	FreeSpin 3 Symbol12 win 	FreeSpin 4 Symbol12 win 	FreeSpin 5 Symbol12 win 	FreeSpin Symbol12 Total Win Pay 	Symbol13	FreeSpin 2 Symbol13 Hit 	FreeSpin 3 Symbol13 Hit 	FreeSpin 4 Symbol13 Hit 	FreeSpin 5 Symbol13 Hit 	FreeSpin Symbol13 Total Hit 	FreeSpin 2 Symbol13 win 	FreeSpin 3 Symbol13 win 	FreeSpin 4 Symbol13 win 	FreeSpin 5 Symbol13 win 	FreeSpin Symbol13 Total Win Pay 	Symbol14	FreeSpin 2 Symbol14 Hit 	FreeSpin 3 Symbol14 Hit 	FreeSpin 4 Symbol14 Hit 	FreeSpin 5 Symbol14 Hit 	FreeSpin Symbol14 Total Hit 	FreeSpin 2 Symbol14 win 	FreeSpin 3 Symbol14 win 	FreeSpin 4 Symbol14 win 	FreeSpin 5 Symbol14 win 	FreeSpin Symbol14 Total Win Pay 	Symbol15	FreeSpin 2 Symbol15 Hit 	FreeSpin 3 Symbol15 Hit 	FreeSpin 4 Symbol15 Hit 	FreeSpin 5 Symbol15 Hit 	FreeSpin Symbol15 Total Hit 	FreeSpin 2 Symbol15 win 	FreeSpin 3 Symbol15 win 	FreeSpin 4 Symbol15 win 	FreeSpin 5 Symbol15 win 	FreeSpin Symbol15 Total Win Pay 	
1000	50	100	100000	24	24	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	0	0	0	0	0	0	0	0	0	symbol3	0	11	0	0	11	0	1100	0	0	1100	symbol4	0	2	0	0	2	0	160	0	0	160	symbol5	0	7	1	0	8	0	270	120	0	390	symbol6	0	2	2	0	4	0	240	400	0	640	symbol7	0	0	1	0	1	0	0	200	0	200	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	0	0	0	0	0	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
2000	50	100	200000	83	83	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	17	5	5	27	0	34200	3200	79000	116400	symbol3	0	23	0	0	23	0	11900	0	0	11900	symbol4	0	33	20	2	55	0	48440	57260	2240	107940	symbol5	0	46	4	3	53	0	46620	3720	2880	53220	symbol6	0	47	4	0	51	0	47310	550	0	47860	symbol7	0	61	10	3	74	0	59880	13050	9720	82650	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	4	0	0	0	4	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
3000	50	100	300000	83	83	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	17	5	5	27	0	34200	3200	79000	116400	symbol3	0	23	0	0	23	0	11900	0	0	11900	symbol4	0	33	20	2	55	0	48440	57260	2240	107940	symbol5	0	46	4	3	53	0	46620	3720	2880	53220	symbol6	0	47	4	0	51	0	47310	550	0	47860	symbol7	0	61	10	3	74	0	59880	13050	9720	82650	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	4	0	0	0	4	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
4000	50	100	400000	121	121	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	25	6	7	38	0	43800	13200	129000	186000	symbol3	0	30	4	0	34	0	19800	18000	0	37800	symbol4	0	42	22	2	66	0	65040	57820	2240	125100	symbol5	0	80	14	3	97	0	82050	14040	2880	98970	symbol6	0	64	11	2	77	0	58620	8750	9000	76370	symbol7	0	77	16	5	98	0	67950	18750	14580	101280	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	5	0	0	0	5	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
5000	50	100	500000	165	165	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	33	6	7	46	0	78900	13200	129000	221100	symbol3	0	70	10	0	80	0	61900	26100	0	88000	symbol4	0	52	25	3	80	0	69120	58520	3360	131000	symbol5	0	104	18	3	125	0	89490	16380	2880	108750	symbol6	0	87	16	4	107	0	67560	9150	11790	88500	symbol7	0	80	23	5	108	0	68130	20650	14580	103360	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	6	0	0	0	6	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
6000	50	100	600000	207	207	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	41	10	7	58	0	83800	23000	129000	235800	symbol3	0	75	16	0	91	0	66100	28260	0	94360	symbol4	0	75	26	3	104	0	71880	58660	3360	133900	symbol5	0	133	23	4	160	0	95040	16860	6480	118380	symbol6	0	103	20	5	128	0	74640	9750	12150	96540	symbol7	0	85	23	5	113	0	70650	20650	14580	105880	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	6	0	0	0	6	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
7000	50	100	700000	222	222	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	41	10	7	58	0	83800	23000	129000	235800	symbol3	0	77	18	1	96	0	66300	28620	500	95420	symbol4	0	81	29	3	113	0	73400	59990	3360	136750	symbol5	0	141	24	4	169	0	96090	16980	6480	119550	symbol6	0	109	23	6	138	0	77190	12000	12330	101520	symbol7	0	101	23	5	129	0	74850	20650	14580	110080	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	6	0	0	0	6	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
8000	50	100	800000	222	222	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	41	10	7	58	0	83800	23000	129000	235800	symbol3	0	77	18	1	96	0	66300	28620	500	95420	symbol4	0	81	29	3	113	0	73400	59990	3360	136750	symbol5	0	141	24	4	169	0	96090	16980	6480	119550	symbol6	0	109	23	6	138	0	77190	12000	12330	101520	symbol7	0	101	23	5	129	0	74850	20650	14580	110080	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	6	0	0	0	6	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
9000	50	100	900000	286	286	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	48	11	7	66	0	118800	23800	129000	271600	symbol3	0	89	18	1	108	0	72700	28620	500	101820	symbol4	0	99	35	3	137	0	85560	67830	3360	156750	symbol5	0	174	32	5	211	0	108390	26220	6960	141570	symbol6	0	122	30	7	159	0	84390	15050	16830	116270	symbol7	0	136	31	8	175	0	93660	22000	20520	136180	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	8	0	0	0	8	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
10000	50	100	1000000	313	313	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	49	13	7	69	0	118900	24200	129000	272100	symbol3	0	91	21	1	113	0	72800	28890	500	102190	symbol4	0	102	35	3	140	0	86520	67830	3360	157710	symbol5	0	188	32	5	225	0	109110	26220	6960	142290	symbol6	0	122	30	7	159	0	84390	15050	16830	116270	symbol7	0	138	31	8	177	0	93720	22000	20520	136240	symbol8	0	0	0	0	0	0	0	0	0	0	symbol9	0	0	0	0	0	0	0	0	0	0	symbol10	0	0	0	0	0	0	0	0	0	0	symbol11	0	0	0	0	0	0	0	0	0	0	symbol12	10	0	0	0	10	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
