Num of Spin	LeftCredit	Line	BetPerLine	TotalAmount	TotalHit	TotalCoinIn	TotalCoinOut	Hit Rate	PayBack	BaseGame Hit	BaseGame TotalWin	BaseGame Hit Rate	BaseGame PayBack	BaseGame TopAward	BaseGame TopAward ReelsStop	BaseGame TopAward Type	Freespin Total Hit	Freespin Total Win	FreeSpin Total Hit Rate	FreeSpin Total PayBack	Feespin Total Times	Freespin TopAward	FS TopAward ReelsStop	FS TopAward Type	screen Max Award	screen Max Award Hit	Bonus Total Hit	Bonus Total Win	Bonus Total Hit Rate	Bonus Total Payback	Base Mystery Mul1 Hit	Base Mystery Mul2 Hit	Base Mystery Mul3 Hit	Base Mystery Mul4 Hit	Base Mystery Mul5 Hit	Base Mystery Mul6 Hit	Base Mystery Mul7 Hit	Base Mystery Mul8 Hit	Fs Inc Mul1 Times	Fs Inc Mul2 Times	Fs Inc Mul3 Times	Fs Inc Mul4 Times	Fs Inc Mul5 Times	Fs Inc Mul6 Times	Fs Inc Mul7 Times	Fs Inc Mul1 Hit	Fs Inc Mul2 Hit	Fs Inc Mul3 Hit	Fs Inc Mul4 Hit	Fs Inc Mul5 Hit	Fs Inc Mul6 Hit	Fs Inc Mul7 Hit	Fs Inc Mul1 Win	Fs Inc Mul2 Win	Fs Inc Mul3 Win	Fs Inc Mul4 Win	Fs Inc Mul5 Win	Fs Inc Mul6 Win	Fs Inc Mul7 Win	Pay6	Pay6Hit	Pay6PayOut	Pay10	Pay10Hit	Pay10PayOut	Pay20	Pay20Hit	Pay20PayOut	Pay30	Pay30Hit	Pay30PayOut	Pay40	Pay40Hit	Pay40PayOut	Pay50	Pay50Hit	Pay50PayOut	Pay60	Pay60Hit	Pay60PayOut	Pay80	Pay80Hit	Pay80PayOut	Pay100	Pay100Hit	Pay100PayOut	Pay120	Pay120Hit	Pay120PayOut	Pay160	Pay160Hit	Pay160PayOut	Pay200	Pay200Hit	Pay200PayOut	Pay400	Pay400Hit	Pay400PayOut	Pay500	Pay500Hit	Pay500PayOut	Pay1000	Pay1000Hit	Pay1000PayOut	
1000	9999998042	88	1	0.0	215	88000	86042.0	0.215	0.97775	215	50368	0.215	0.5723636363636364	4200	46 50 95 25 94	Base Normal	6	20890	0.006	0.23738636363636365	48	2840	22 51 46 3 13	FS	7744.0	1	2	14784	0.002	0.168	657	152	50	41	23	30	27	20	11	11	13	11	2	0	0	6	6	6	3	2	0	0	6200	5100	5120	2790	1680	0	0	6	42	378	10	163	3160	20	199	6480	30	50	3030	40	188	13640	50	48	3400	60	7	660	80	26	3680	100	56	8900	120	0	0	160	2	1440	200	7	2800	400	2	2800	500	0	0	1000	0	0	
2000	9999977516	88	1	360.0	415	176000	153516.0	0.2075	0.87225	415	104086	0.2075	0.5913977272727273	4200	46 50 95 25 94	Base Normal	8	24438	0.004	0.13885227272727274	64	2840	22 51 46 3 13	FS	7744.0	1	4	24992	0.002	0.142	1298	296	99	85	63	70	56	33	17	16	16	13	2	0	0	8	8	7	3	2	0	0	7880	6168	5920	2790	1680	0	0	6	102	966	10	319	6030	20	385	15040	30	80	5880	40	387	32640	50	91	6650	60	15	2520	80	46	6960	100	109	17800	120	1	120	160	9	2880	200	10	3400	400	3	3200	500	0	0	1000	0	0	
3000	9999985852	88	1	0.0	616	264000	249852.0	0.20533333333333334	0.9464090909090909	616	159724	0.20533333333333334	0.6050151515151515	4200	46 50 95 25 94	Base Normal	13	46216	0.004333333333333333	0.17506060606060606	104	3520	93 6 8 24 73	FS	7744.0	1	8	43912	0.0026666666666666666	0.16633333333333333	1943	444	163	125	102	97	83	43	28	25	24	20	4	3	0	13	13	11	6	4	1	0	12784	10614	13328	5610	3180	700	0	6	147	1404	10	483	9410	20	570	21700	30	133	8280	40	594	46520	50	140	12250	60	20	3120	80	61	8880	100	167	36000	120	1	120	160	10	3040	200	16	5800	400	3	3200	500	0	0	1000	0	0	
4000	9999960310	88	1	0.0	853	352000	312310.0	0.21325	0.8872443181818181	853	212142	0.21325	0.6026761363636364	4200	46 50 95 25 94	Base Normal	14	53616	0.0035	0.15231818181818182	120	3680	25 91 91 64 84	FS	7744.0	1	9	46552	0.00225	0.13225	2594	593	225	161	141	118	110	58	31	26	26	21	7	5	4	14	14	11	7	5	2	1	12904	10794	13328	6110	4980	1820	3680	6	257	2412	10	707	13710	20	767	28700	30	217	13710	40	796	62280	50	214	17050	60	24	3420	80	76	10560	100	232	46500	120	1	120	160	11	3680	200	20	6800	400	3	3200	500	0	0	1000	0	0	
5000	9999965642	88	1	0.0	1071	440000	405642.0	0.2142	0.9219136363636363	1071	272266	0.2142	0.6187863636363636	4200	46 50 95 25 94	Base Normal	17	63592	0.0034	0.14452727272727273	144	3680	25 91 91 64 84	FS	7744.0	1	14	69784	0.0028	0.1586	3237	743	283	203	181	150	133	70	34	31	35	27	8	5	4	17	17	14	10	5	2	1	14944	12360	16848	8960	4980	1820	3680	6	338	3606	10	838	16080	20	1022	38360	30	278	16170	40	999	78560	50	254	19750	60	32	4620	80	97	14160	100	339	64000	120	2	240	160	14	4320	200	29	8800	400	4	3600	500	0	0	1000	0	0	
6000	9999961588	88	1	0.0	1282	528000	489588.0	0.21366666666666667	0.92725	1282	319842	0.21366666666666667	0.6057613636363637	4200	46 50 95 25 94	Base Normal	22	81042	0.0036666666666666666	0.15348863636363635	184	3680	25 91 91 64 84	FS	11040.0	1	17	88704	0.0028333333333333335	0.168	3888	887	336	252	225	181	148	83	49	36	39	36	13	7	4	22	21	18	13	8	3	1	17484	13722	22536	12420	9240	1960	3680	6	412	4242	10	992	18350	20	1251	47860	30	320	18480	40	1216	94960	50	299	24750	60	37	5460	80	109	15920	100	383	70900	120	2	240	160	19	5280	200	33	9800	400	4	3600	500	0	0	1000	0	0	
7000	9999959040	88	1	240.0	1488	616000	575040.0	0.21257142857142858	0.9335064935064935	1488	376706	0.21257142857142858	0.6115357142857143	4200	46 50 95 25 94	Base Normal	25	97134	0.0035714285714285713	0.15768506493506493	208	4500	45 2 58 64 12	FS	11040.0	1	20	101200	0.002857142857142857	0.16428571428571428	4541	1025	398	297	257	211	171	100	56	39	44	40	16	9	4	25	24	21	16	10	4	1	20488	16482	25584	18270	10320	2310	3680	6	451	4626	10	1151	21390	20	1478	56540	30	371	21630	40	1408	109960	50	361	30400	60	50	6480	80	124	18400	100	446	83400	120	3	480	160	20	6400	200	42	13000	400	5	4000	500	0	0	1000	0	0	
8000	9999941724	88	1	0.0	1722	704000	645724.0	0.21525	0.917221590909091	1722	432750	0.21525	0.6147017045454546	4800	24 63 64 71 74	Base Normal	29	107814	0.003625	0.15314488636363635	240	4920	62 24 64 54 72	FS	11040.0	1	21	105160	0.002625	0.149375	5189	1176	460	329	297	243	191	115	62	50	54	41	20	9	4	29	28	24	17	11	4	1	21288	19002	27624	18670	15240	2310	3680	6	506	5310	10	1314	24040	20	1753	65200	30	433	24390	40	1615	126280	50	419	37050	60	56	7140	80	134	20160	100	512	97100	120	7	1560	160	22	6720	200	44	13400	400	6	4400	500	0	0	1000	0	0	
9000	9999956446	88	1	0.0	1941	792000	748446.0	0.21566666666666667	0.9450075757575758	1941	494626	0.21566666666666667	0.6245277777777778	6600	24 50 75 65 34	Base Normal	32	142852	0.0035555555555555557	0.18036868686868687	264	14268	27 18 71 28 51	FS	16238.0	1	23	110968	0.0025555555555555557	0.1401111111111111	5823	1334	520	368	330	278	216	131	65	54	58	44	26	13	4	32	31	27	20	14	5	1	23228	19842	28944	20710	42108	4340	3680	6	570	5916	10	1448	27030	20	1961	72760	30	464	25860	40	1849	146520	50	493	44700	60	63	8880	80	141	20720	100	587	112000	120	7	1560	160	23	6880	200	49	17400	400	6	4400	500	0	0	1000	0	0	
10000	9999967378	88	1	0.0	2143	880000	847378.0	0.2143	0.9629295454545455	2144	549366	0.2144	0.6242795454545454	6600	24 50 75 65 34	Base Normal	38	176396	0.0038	0.20045	328	14268	27 18 71 28 51	FS	17408.0	1	26	121616	0.0026	0.1382	6475	1489	571	411	354	310	240	150	84	61	64	54	33	15	17	36	36	32	24	15	7	7	24168	25068	32864	28950	42708	8190	14448	6	607	6186	10	1593	29350	20	2193	82440	30	548	32130	40	2037	164280	50	532	47300	60	72	9420	80	163	24880	100	632	122300	120	10	1920	160	26	7360	200	49	17400	400	6	4400	500	0	0	1000	0	0	
