Num of Spin	Left Credit	lines	bet	Total Bet	Denom	Total Amount	Total Hit	TotalCoinIn	TotalCoinOut	Hit Rate	Payback	BaseTotalHit	BaseTotalWin	Fs Total Hit	Fs Total Times	Fs Actual Total Win	Fs Total Win	Base Mul Index1	Base Mul Index2	Base Mul Index3	Base Mul Index4	BaseAll4SpotsHit	Base3Out4SpotsHit	fs Mul Index1	fs Mul Index2	fs Mul Index3	fs Mul Index4	FsAll4SpotsHit	Fs3Out4SpotsHit	FsAll3SpotsHit	Fs2Out3SpotsHit	mixHit3Set Index1	mixHit3Set Index2	mixHit3Set Index3	mixHit3Set Index4	mixHit3Set Index5	mixHit3Set Index6	mixHit4Set Index1	mixHit4Set Index2	mixHit4Set Index3	mixHit4Set Index4	mixHit4Set Index5	mixHit4Set Index6	Pick2 Match0 Hit	Pick2 Match1 Hit	Pick2 Match2 Hit	Pick3 Match0 Hit	Pick3 Match1 Hit	Pick3 Match2 Hit	Pick3 Match3 Hit	Pick4 Match0 Hit	Pick4 Match1 Hit	Pick4 Match2 Hit	Pick4 Match3 Hit	Pick4 Match4 Hit	Pick5 Match0 Hit	Pick5 Match1 Hit	Pick5 Match2 Hit	Pick5 Match3 Hit	Pick5 Match4 Hit	Pick5 Match5 Hit	Pick6 Match0 Hit	Pick6 Match1 Hit	Pick6 Match2 Hit	Pick6 Match3 Hit	Pick6 Match4 Hit	Pick6 Match5 Hit	Pick6 Match6 Hit	Pick7 Match0 Hit	Pick7 Match1 Hit	Pick7 Match2 Hit	Pick7 Match3 Hit	Pick7 Match4 Hit	Pick7 Match5 Hit	Pick7 Match6 Hit	Pick7 Match7 Hit	Pick8 Match0 Hit	Pick8 Match1 Hit	Pick8 Match2 Hit	Pick8 Match3 Hit	Pick8 Match4 Hit	Pick8 Match5 Hit	Pick8 Match6 Hit	Pick8 Match7 Hit	Pick8 Match8 Hit	Pick9 Match0 Hit	Pick9 Match1 Hit	Pick9 Match2 Hit	Pick9 Match3 Hit	Pick9 Match4 Hit	Pick9 Match5 Hit	Pick9 Match6 Hit	Pick9 Match7 Hit	Pick9 Match8 Hit	Pick9 Match9 Hit	Pick10 Match0 Hit	Pick10 Match1 Hit	Pick10 Match2 Hit	Pick10 Match3 Hit	Pick10 Match4 Hit	Pick10 Match5 Hit	Pick10 Match6 Hit	Pick10 Match7 Hit	Pick10 Match8 Hit	Pick10 Match9 Hit	Pick10 Match10 Hit	Pick2 Match0 Win	Pick2 Match1 Win	Pick2 Match2 Win	Pick3 Match0 Win	Pick3 Match1 Win	Pick3 Match2 Win	Pick3 Match3 Win	Pick4 Match0 Win	Pick4 Match1 Win	Pick4 Match2 Win	Pick4 Match3 Win	Pick4 Match4 Win	Pick5 Match0 Win	Pick5 Match1 Win	Pick5 Match2 Win	Pick5 Match3 Win	Pick5 Match4 Win	Pick5 Match5 Win	Pick6 Match0 Win	Pick6 Match1 Win	Pick6 Match2 Win	Pick6 Match3 Win	Pick6 Match4 Win	Pick6 Match5 Win	Pick6 Match6 Win	Pick7 Match0 Win	Pick7 Match1 Win	Pick7 Match2 Win	Pick7 Match3 Win	Pick7 Match4 Win	Pick7 Match5 Win	Pick7 Match6 Win	Pick7 Match7 Win	Pick8 Match0 Win	Pick8 Match1 Win	Pick8 Match2 Win	Pick8 Match3 Win	Pick8 Match4 Win	Pick8 Match5 Win	Pick8 Match6 Win	Pick8 Match7 Win	Pick8 Match8 Win	Pick9 Match0 Win	Pick9 Match1 Win	Pick9 Match2 Win	Pick9 Match3 Win	Pick9 Match4 Win	Pick9 Match5 Win	Pick9 Match6 Win	Pick9 Match7 Win	Pick9 Match8 Win	Pick9 Match9 Win	Pick10 Match0 Win	Pick10 Match1 Win	Pick10 Match2 Win	Pick10 Match3 Win	Pick10 Match4 Win	Pick10 Match5 Win	Pick10 Match6 Win	Pick10 Match7 Win	Pick10 Match8 Win	Pick10 Match9 Win	Pick10 Match10 Win	Base FsTime5 Hit	Base FsTime6 Hit	Base FsTime8 Hit	Base FsTime12 Hit	
10000	99999916220	25	1	25	1	0	1038	250000	166220	0.1038	0.66488	1060	138710	89	956	27510	27510	1272	236	313	57	88	1272	233	12	1	1	12	113	7	120	236	313	57	3	1	0	12	1	1	0	0	0	1397	994	155	1031	1074	298	26	0	0	0	0	0	578	1003	701	188	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	643	853	553	222	52	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37185	0	0	20600	10850	0	0	0	0	0	0	0	0	14600	11700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14350	7625	5000	16800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	23	17	29	
20000	99999865055	25	1	25	1	0	2137	500000	365055	0.10685	0.73011	2176	300900	190	2222	64155	64155	2598	452	641	125	180	2598	580	22	3	2	21	283	24	297	452	641	125	20	1	0	22	3	2	0	0	0	2847	1938	304	2113	2135	636	50	0	0	0	0	0	1148	2051	1370	388	64	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	1294	1614	1084	443	100	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72890	0	0	42650	20460	0	0	0	0	0	0	0	0	27400	24900	42000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28550	14250	11000	16800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	44	44	49	
30000	99999798115	25	1	25	1	0	3235	750000	548115	0.10783333333333334	0.73082	3301	459735	294	3403	88380	88380	3981	667	962	206	276	3981	875	29	4	2	29	416	39	459	667	962	206	31	3	0	29	4	2	0	0	0	4287	2891	449	3161	3156	1031	77	0	0	0	0	0	1701	3041	2057	576	76	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	1953	2455	1640	639	153	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107855	0	0	69450	38130	0	0	0	0	0	0	0	0	40750	28500	75600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41400	23250	18000	16800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	64	72	73	
40000	99999754545	25	1	25	1	0	4341	1000000	754545	0.108525	0.754545	4428	635595	393	4743	118950	118950	5290	913	1270	278	370	5290	1223	41	6	2	40	578	58	645	913	1270	278	42	5	0	41	6	2	0	0	0	5685	3850	586	4232	4216	1396	108	0	0	0	0	0	2279	4073	2718	777	111	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	2582	3265	2193	847	197	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140230	0	0	93250	49290	0	0	0	0	0	0	0	0	55250	45300	109200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54900	31375	40000	16800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	94	91	99	
50000	99999658920	25	1	25	1	0	5457	1250000	908920	0.10914	0.727136	5565	766055	479	5776	142865	142865	6566	1145	1597	344	453	6566	1485	50	7	2	51	706	74	779	1145	1597	344	50	5	0	50	7	2	0	0	0	7119	4778	738	5263	5275	1743	143	0	0	0	0	0	2827	5101	3341	986	150	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	3223	4140	2727	1067	243	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177230	0	0	116300	62000	0	0	0	0	0	0	0	0	68850	61500	109200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68300	37875	48000	16800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	112	116	123	
60000	99999572400	25	1	25	1	0	6563	1500000	1072400	0.10938333333333333	0.7149333333333333	6693	904075	576	7059	168325	168325	7829	1395	1920	411	545	7829	1827	59	15	2	68	873	88	954	1395	1920	411	64	5	0	59	15	2	0	0	0	8510	5731	887	6322	6351	2108	180	0	0	0	0	0	3388	6155	4025	1188	180	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1293	3897	4965	3213	1268	289	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214230	0	0	139100	75020	0	0	0	0	0	0	0	0	82150	73800	121800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80550	45625	55000	16800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	132	138	149	
70000	99999525050	25	1	25	1	0	7669	1750000	1275050	0.10955714285714285	0.7286	7820	1078995	678	8358	196055	196055	9122	1640	2246	496	639	9122	2208	66	19	2	81	1050	105	1158	1640	2246	496	77	6	0	66	19	2	0	0	0	9953	6718	1039	7344	7382	2455	211	0	0	0	0	0	3971	7158	4671	1389	212	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1509	4585	5794	3731	1472	342	44	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258075	0	0	161000	88970	0	0	0	0	0	0	0	0	97600	88200	151200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93800	54750	63000	22400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	150	162	175	
80000	99999424950	25	1	25	1	0	8775	2000000	1424950	0.1096875	0.712475	8954	1206925	780	9510	218025	218025	10401	1873	2551	556	737	10401	2495	74	23	2	88	1195	123	1300	1873	2551	556	86	6	0	74	23	2	0	0	0	11306	7703	1193	8388	8456	2801	258	0	0	0	0	0	4538	8165	5376	1609	244	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1719	5238	6615	4269	1668	387	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294890	0	0	185200	108810	0	0	0	0	0	0	0	0	111000	98700	151200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105100	62625	67000	22400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	168	191	202	
90000	99999349700	25	1	25	1	0	9841	2250000	1599700	0.10934444444444444	0.7109777777777778	10040	1353740	869	10515	245960	245960	11697	2104	2889	625	820	11697	2799	81	26	2	96	1343	138	1456	2104	2889	625	96	6	0	81	26	2	0	0	0	12704	8680	1343	9424	9553	3111	299	0	0	0	0	0	5118	9174	6062	1819	279	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1945	5883	7425	4802	1873	427	57	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335035	0	0	206800	123380	0	0	0	0	0	0	0	0	124150	111000	155400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118600	68375	83000	28000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	185	214	220	
100000	99999267520	25	1	25	1	0	10923	2500000	1767520	0.10923	0.707008	11142	1498835	960	11564	268685	268685	13039	2318	3211	697	904	13039	3085	86	27	2	104	1495	154	1590	2318	3211	697	105	7	0	86	27	2	0	0	0	14116	9643	1503	10447	10662	3450	342	0	0	0	0	0	5673	10158	6711	2013	319	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2201	6558	8248	5335	2072	461	63	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373515	0	0	230150	140120	0	0	0	0	0	0	0	0	136000	124200	172200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132400	73250	89000	28000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	214	234	237	
