Num of Spin	Left Credit	lines	bet	Total Bet	Denom	Total Amount	Total Hit	TotalCoinIn	TotalCoinOut	Hit Rate	Payback	HandPokers	BaseTotalHit	BaseTotalWin	Gold Trigger Hit	Free Game Hit	Instant Prize Hit	R or B Hit	Free Game Win	Instant Prize Win	R or B Win	Fs Total Hit	Fs Total Times	Fs Total Win	Bonus Total Hit	Bonus Total Win	Instant Cash Total Win	Instant Cash1 Hit	Instant Cash2 Hit	Instant Cash3 Hit	Instant Cash4 Hit	Instant Cash5 Hit	Instant Cash1 Win	Instant Cash2 Win	Instant Cash3 Win	Instant Cash4 Win	Instant Cash5 Win	Fs Index1 Hit	Fs Index2 Hit	Fs Index3 Hit	Fs Index1 Times	Fs Index2 Times	Fs Index3 Times	Fs Index1 Win	Fs Index2 Win	Fs Index3 Win	Bonus R OR B Round1 Hit	Bonus R OR B Round2 Hit	Bonus R OR B Round3 Hit	Bonus R OR B Round4 Hit	Bonus R OR B Round5 Hit	Bonus R OR B Round6 Hit	Bonus R OR B Round1 Win	Bonus R OR B Round2 Win	Bonus R OR B Round3 Win	Bonus R OR B Round4 Win	Bonus R OR B Round5 Win	Bonus R OR B Round6 Win	Nothing Hit	Royal flush Hit	Straight flush Hit	Four of a kind Hit	Full house Hit	Flush Hit	Straight Hit	Three of a kind Hit	Two pair Hit	Jacks or Better Hit	Nothing Win	Royal flush Win	Straight flush Win	Four of a kind Win	Full house Win	Flush Win	Straight Win	Three of a kind Win	Two pair Win	Jacks or Better Win	FsMul Index1 Hit	FsMul Index2 Hit	FsMul Index3 Hit	FsMul Index4 Hit	
10000	99999536440	25	8	200	1	200	2898	2000000	1536440	0.2898	0.76822	[9,6,22,45,42]	2898	1105920	171	9	121	41	45520	294000	91000	9	55	45520	41	182000	294000	76	26	12	6	1	76000	78000	60000	60000	20000	7	2	0	35	20	0	24320	21200	0	21	8	8	2	2	0	21000	16000	24000	10000	20000	0	7220	0	2	26	98	107	120	758	1293	376	0	0	20000	104000	196000	107000	72000	303200	258600	45120	0	0	0	0	
20000	99999006240	25	8	200	1	0	5830	4000000	3006240	0.2915	0.75156	[48,34,32,11,6]	5830	2217680	348	17	250	81	79560	537000	172000	17	110	79560	81	344000	537000	169	51	19	10	1	169000	153000	95000	100000	20000	12	5	0	60	50	0	41440	38120	0	45	15	14	3	4	0	45000	30000	42000	15000	40000	0	14417	0	2	48	225	207	217	1518	2592	774	0	0	20000	192000	450000	207000	130200	607200	518400	92880	0	0	0	0	
30000	99998486400	25	8	200	1	0	8717	6000000	4486400	0.29056666666666664	0.7477333333333334	[8,42,40,41,17]	8717	3342160	508	27	365	116	127240	795000	222000	27	175	127240	116	444000	795000	247	71	29	17	1	247000	213000	145000	170000	20000	19	8	0	95	80	0	68080	59160	0	65	30	14	3	4	0	65000	60000	42000	15000	40000	0	21645	0	2	73	353	314	325	2243	3907	1138	0	0	20000	292000	706000	314000	195000	897200	781400	136560	0	0	0	0	
40000	99997930480	25	8	200	1	0	11615	8000000	5930480	0.290375	0.74131	[20,44,0,48,21]	11615	4462720	655	32	464	159	147760	990000	330000	32	205	147760	159	660000	990000	319	87	38	18	2	319000	261000	190000	180000	40000	23	9	0	115	90	0	83080	64680	0	85	41	21	6	5	1	85000	82000	63000	30000	50000	20000	28856	0	2	99	465	434	438	2994	5211	1501	0	0	20000	396000	930000	434000	262800	1197600	1042200	180120	0	0	0	0	
50000	99997450560	25	8	200	1	0	14512	10000000	7450560	0.29024	0.745056	[43,50,13,49,40]	14512	5605800	817	40	589	188	182760	1243000	419000	40	260	182760	188	838000	1243000	408	105	52	22	2	408000	315000	260000	220000	40000	29	10	1	145	100	15	101080	71680	10000	105	42	25	7	6	3	105000	84000	75000	35000	60000	60000	36084	1	2	116	581	548	509	3729	6540	1890	0	80000	20000	464000	1162000	548000	305400	1491600	1308000	226800	0	0	0	0	
60000	99996925840	25	8	200	1	0	17431	12000000	8925840	0.29051666666666665	0.74382	[26,46,1,30,49]	17431	6712080	983	44	719	220	195760	1509000	509000	44	280	195760	220	1018000	1509000	502	124	65	25	3	502000	372000	325000	250000	60000	33	10	1	165	100	15	114080	71680	10000	115	53	31	11	6	4	115000	106000	93000	55000	60000	80000	43283	1	2	135	709	653	619	4460	7864	2274	0	80000	20000	540000	1418000	653000	371400	1784000	1572800	272880	0	0	0	0	
70000	99996473200	25	8	200	1	0	20369	14000000	10473200	0.2909857142857143	0.7480857142857142	[25,29,9,38,7]	20369	7805120	1151	52	841	258	229080	1769000	670000	52	325	229080	258	1340000	1769000	588	147	72	30	4	588000	441000	360000	300000	80000	40	11	1	200	110	15	141000	78080	10000	131	58	41	12	8	8	131000	116000	123000	60000	80000	160000	50468	1	2	161	812	748	734	5234	9179	2661	0	80000	20000	644000	1624000	748000	440400	2093600	1835800	319320	0	0	0	0	
80000	99996011680	25	8	200	1	0	23202	16000000	12011680	0.290025	0.75073	[2,21,28,42,50]	23202	8919760	1329	59	964	306	256920	2035000	800000	59	370	256920	306	1600000	2035000	678	164	81	36	5	678000	492000	405000	360000	100000	45	13	1	225	130	15	155520	91400	10000	159	68	45	14	10	10	159000	136000	135000	70000	100000	200000	57772	1	5	189	923	846	844	5964	10438	3018	0	80000	50000	756000	1846000	846000	506400	2385600	2087600	362160	0	0	0	0	
90000	99995497480	25	8	200	1	0	26070	18000000	13497480	0.2896666666666667	0.74986	[45,26,17,46,33]	26070	10011720	1494	66	1075	353	306760	2264000	915000	66	430	306760	353	1830000	2264000	756	186	88	39	6	756000	558000	440000	390000	120000	48	16	2	240	160	30	168640	118400	19720	183	78	52	18	11	11	183000	156000	156000	90000	110000	220000	65027	1	5	215	1029	948	958	6742	11689	3386	0	80000	50000	860000	2058000	948000	574800	2696800	2337800	406320	0	0	0	0	
100000	99994890680	25	8	200	1	120	28939	20000000	14890680	0.28939	0.744534	[13,7,0,40,8]	28939	11039000	1658	74	1180	404	349680	2481000	1021000	74	485	349680	404	2042000	2481000	825	212	96	40	7	825000	636000	480000	400000	140000	53	19	2	265	190	30	191240	138720	19720	214	91	55	20	12	12	214000	182000	165000	100000	120000	240000	72280	1	5	235	1121	1060	1051	7463	12964	3820	0	80000	50000	940000	2242000	1060000	630600	2985200	2592800	458400	0	0	0	0	
