Num of Spin	Win Tier 0 FsType1 fsEntries	Win Tier 1 FsType1 fsEntries	Win Tier 2 FsType1 fsEntries	Win Tier 3 FsType1 fsEntries	Win Tier 4 FsType1 fsEntries	Win Tier 5 FsType1 fsEntries	Win Tier 6 FsType1 fsEntries	Win Tier 7 FsType1 fsEntries	Win Tier 8 FsType1 fsEntries	Win Tier 9 FsType1 fsEntries	Win Tier 10 FsType1 fsEntries	Win Tier 11 FsType1 fsEntries	Win Tier 12 FsType1 fsEntries	Win Tier 13 FsType1 fsEntries	Win Tier 14 FsType1 fsEntries	Win Tier 15 FsType1 fsEntries	Win Tier 16 FsType1 fsEntries	Win Tier 17 FsType1 fsEntries	Win Tier 18 FsType1 fsEntries	Win Tier 19 FsType1 fsEntries	Win Tier 20 FsType1 fsEntries	Win Tier 21 FsType1 fsEntries	Win Tier 22 FsType1 fsEntries	Win Tier 23 FsType1 fsEntries	Win Tier 24 FsType1 fsEntries	Win Tier 25 FsType1 fsEntries	Win Tier 0 FsType1 FreeSpins#	Win Tier 1 FsType1 FreeSpins#	Win Tier 2 FsType1 FreeSpins#	Win Tier 3 FsType1 FreeSpins#	Win Tier 4 FsType1 FreeSpins#	Win Tier 5 FsType1 FreeSpins#	Win Tier 6 FsType1 FreeSpins#	Win Tier 7 FsType1 FreeSpins#	Win Tier 8 FsType1 FreeSpins#	Win Tier 9 FsType1 FreeSpins#	Win Tier 10 FsType1 FreeSpins#	Win Tier 11 FsType1 FreeSpins#	Win Tier 12 FsType1 FreeSpins#	Win Tier 13 FsType1 FreeSpins#	Win Tier 14 FsType1 FreeSpins#	Win Tier 15 FsType1 FreeSpins#	Win Tier 16 FsType1 FreeSpins#	Win Tier 17 FsType1 FreeSpins#	Win Tier 18 FsType1 FreeSpins#	Win Tier 19 FsType1 FreeSpins#	Win Tier 20 FsType1 FreeSpins#	Win Tier 21 FsType1 FreeSpins#	Win Tier 22 FsType1 FreeSpins#	Win Tier 23 FsType1 FreeSpins#	Win Tier 24 FsType1 FreeSpins#	Win Tier 25 FsType1 FreeSpins#	Win Tier 0 FsType1 Hits#	Win Tier 1 FsType1 Hits#	Win Tier 2 FsType1 Hits#	Win Tier 3 FsType1 Hits#	Win Tier 4 FsType1 Hits#	Win Tier 5 FsType1 Hits#	Win Tier 6 FsType1 Hits#	Win Tier 7 FsType1 Hits#	Win Tier 8 FsType1 Hits#	Win Tier 9 FsType1 Hits#	Win Tier 10 FsType1 Hits#	Win Tier 11 FsType1 Hits#	Win Tier 12 FsType1 Hits#	Win Tier 13 FsType1 Hits#	Win Tier 14 FsType1 Hits#	Win Tier 15 FsType1 Hits#	Win Tier 16 FsType1 Hits#	Win Tier 17 FsType1 Hits#	Win Tier 18 FsType1 Hits#	Win Tier 19 FsType1 Hits#	Win Tier 20 FsType1 Hits#	Win Tier 21 FsType1 Hits#	Win Tier 22 FsType1 Hits#	Win Tier 23 FsType1 Hits#	Win Tier 24 FsType1 Hits#	Win Tier 25 FsType1 Hits#	Win Tier 0 FsType1 FsTotalPay	Win Tier 1 FsType1 FsTotalPay	Win Tier 2 FsType1 FsTotalPay	Win Tier 3 FsType1 FsTotalPay	Win Tier 4 FsType1 FsTotalPay	Win Tier 5 FsType1 FsTotalPay	Win Tier 6 FsType1 FsTotalPay	Win Tier 7 FsType1 FsTotalPay	Win Tier 8 FsType1 FsTotalPay	Win Tier 9 FsType1 FsTotalPay	Win Tier 10 FsType1 FsTotalPay	Win Tier 11 FsType1 FsTotalPay	Win Tier 12 FsType1 FsTotalPay	Win Tier 13 FsType1 FsTotalPay	Win Tier 14 FsType1 FsTotalPay	Win Tier 15 FsType1 FsTotalPay	Win Tier 16 FsType1 FsTotalPay	Win Tier 17 FsType1 FsTotalPay	Win Tier 18 FsType1 FsTotalPay	Win Tier 19 FsType1 FsTotalPay	Win Tier 20 FsType1 FsTotalPay	Win Tier 21 FsType1 FsTotalPay	Win Tier 22 FsType1 FsTotalPay	Win Tier 23 FsType1 FsTotalPay	Win Tier 24 FsType1 FsTotalPay	Win Tier 25 FsType1 FsTotalPay	Win Tier 0 FsType1 FsMax	Win Tier 1 FsType1 FsMax	Win Tier 2 FsType1 FsMax	Win Tier 3 FsType1 FsMax	Win Tier 4 FsType1 FsMax	Win Tier 5 FsType1 FsMax	Win Tier 6 FsType1 FsMax	Win Tier 7 FsType1 FsMax	Win Tier 8 FsType1 FsMax	Win Tier 9 FsType1 FsMax	Win Tier 10 FsType1 FsMax	Win Tier 11 FsType1 FsMax	Win Tier 12 FsType1 FsMax	Win Tier 13 FsType1 FsMax	Win Tier 14 FsType1 FsMax	Win Tier 15 FsType1 FsMax	Win Tier 16 FsType1 FsMax	Win Tier 17 FsType1 FsMax	Win Tier 18 FsType1 FsMax	Win Tier 19 FsType1 FsMax	Win Tier 20 FsType1 FsMax	Win Tier 21 FsType1 FsMax	Win Tier 22 FsType1 FsMax	Win Tier 23 FsType1 FsMax	Win Tier 24 FsType1 FsMax	Win Tier 25 FsType1 FsMax	
1000	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62700	0	57760	0	76300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32480	0	57760	0	76300	0	0	0	0	0	0	0	0	0	0	0	0	
2000	0	0	0	0	0	0	0	1	3	2	2	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	24	16	16	8	0	13	0	0	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	14	15	8	0	12	0	0	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	84620	62700	85080	57760	0	76300	0	0	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	30000	32480	42640	57760	0	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	
3000	0	0	0	0	0	0	0	1	6	2	5	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	48	16	40	16	0	13	0	0	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	45	14	36	16	0	12	0	0	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	154380	62700	215840	114500	0	76300	0	0	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	30000	32480	46620	57760	0	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	
4000	0	0	0	0	0	0	0	1	7	4	5	2	1	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	56	32	40	16	8	29	0	0	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	52	29	36	16	8	28	0	0	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	181000	132780	215840	114500	61400	223260	0	0	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	30000	36740	46620	57760	61400	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	
5000	0	0	0	0	0	0	0	1	9	6	6	3	1	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	72	53	48	24	8	29	8	8	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	66	48	44	24	8	28	8	6	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	232720	193280	265720	166700	61400	223260	82140	90260	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	30000	36740	49880	57760	61400	76300	82140	90260	155760	239680	0	0	0	0	0	0	0	0	
6000	0	0	0	0	0	0	0	1	12	6	6	3	1	3	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	96	53	48	24	8	29	8	8	39	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	87	48	44	24	8	28	8	6	37	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	302400	193280	265720	166700	61400	223260	82140	90260	443860	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	30000	36740	49880	57760	61400	76300	82140	90260	175520	239680	0	0	0	0	0	0	0	0	
7000	0	0	0	0	0	0	0	1	13	7	6	4	2	4	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	104	61	48	32	16	37	8	8	39	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	95	56	44	32	15	36	8	6	37	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	332320	231660	265720	220060	122800	293960	82140	90260	443860	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	30000	38380	49880	57760	61400	76300	82140	90260	175520	239680	0	0	0	0	0	0	0	0	
8000	0	0	0	0	0	0	0	2	13	8	9	5	3	5	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	104	69	72	40	24	45	8	8	52	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	95	64	63	40	23	43	8	6	49	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31180	332320	268260	395780	273960	183660	371160	82140	90260	553600	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19300	30000	38380	49880	57760	61400	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	
9000	0	0	0	0	0	0	0	2	16	10	10	6	3	5	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	128	85	80	48	24	45	8	8	52	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	119	78	71	47	23	43	8	6	49	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31180	408740	340900	443760	325120	183660	371160	82140	90260	553600	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19300	30000	38380	49880	57760	61400	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	
10000	0	0	0	0	0	0	0	2	17	10	10	6	5	6	2	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	136	85	80	48	45	53	16	8	73	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	126	78	71	47	44	51	16	6	68	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31180	438700	340900	443760	325120	313360	447700	162240	90260	815020	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19300	30000	38380	49880	57760	66960	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	
